"","everwrk","age_p","r_maritl"
"15297","1 Yes",45,"5 Divorced"
"15298","1 Yes",70,"4 Widowed"
"15299","1 Yes",83,"1 Married - spouse in household"
"15300","1 Yes",69,"1 Married - spouse in household"
"15301","1 Yes",59,"1 Married - spouse in household"
"15302","1 Yes",39,"8 Living with partner"
"15303","1 Yes",61,"1 Married - spouse in household"
"15304","1 Yes",25,"7 Never married"
"15305","1 Yes",53,"5 Divorced"
"15306","1 Yes",34,"1 Married - spouse in household"
"15307","1 Yes",35,"1 Married - spouse in household"
"15308","2 No",39,"1 Married - spouse in household"
"15309","1 Yes",19,"7 Never married"
"15310","1 Yes",27,"1 Married - spouse in household"
"15311","1 Yes",67,"5 Divorced"
"15312","1 Yes",23,"7 Never married"
"15313","1 Yes",51,"1 Married - spouse in household"
"15314","1 Yes",77,"1 Married - spouse in household"
"15315","2 No",21,"7 Never married"
"15316","1 Yes",50,"1 Married - spouse in household"
"15317","1 Yes",22,"7 Never married"
"15318","1 Yes",26,"7 Never married"
"15319","1 Yes",41,"7 Never married"
"15320","2 No",42,"1 Married - spouse in household"
"15321","2 No",24,"6 Separated"
"15322","2 No",85,"4 Widowed"
"15323","1 Yes",51,"1 Married - spouse in household"
"15324","1 Yes",78,"4 Widowed"
"15325","1 Yes",62,"5 Divorced"
"15326","1 Yes",69,"5 Divorced"
"15327","1 Yes",63,"5 Divorced"
"15328","2 No",31,"1 Married - spouse in household"
"15329","1 Yes",26,"1 Married - spouse in household"
"15330","1 Yes",24,"7 Never married"
"15331","1 Yes",85,"4 Widowed"
"15332","1 Yes",46,"2 Married - spouse not in household"
"15333","1 Yes",70,"1 Married - spouse in household"
"15334","2 No",27,"1 Married - spouse in household"
"15335","1 Yes",84,"4 Widowed"
"15336","1 Yes",84,"1 Married - spouse in household"
"15337","1 Yes",22,"1 Married - spouse in household"
"15338","1 Yes",57,"7 Never married"
"15339","1 Yes",21,"7 Never married"
"15340","2 No",35,"1 Married - spouse in household"
"15341","1 Yes",37,"5 Divorced"
"15342","1 Yes",39,"1 Married - spouse in household"
"15343","1 Yes",25,"7 Never married"
"15344","1 Yes",35,"7 Never married"
"15345","1 Yes",65,"5 Divorced"
"15346","1 Yes",48,"5 Divorced"
"15347","1 Yes",49,"1 Married - spouse in household"
"15348","1 Yes",72,"1 Married - spouse in household"
"15349","2 No",18,"7 Never married"
"15350","1 Yes",82,"5 Divorced"
"15351","1 Yes",67,"8 Living with partner"
"15352","1 Yes",31,"7 Never married"
"15353","1 Yes",63,"7 Never married"
"15354","1 Yes",56,"7 Never married"
"15355","1 Yes",30,"1 Married - spouse in household"
"15356","1 Yes",60,"1 Married - spouse in household"
"15357","1 Yes",26,"7 Never married"
"15358","2 No",40,"7 Never married"
"15359","2 No",19,"7 Never married"
"15360","2 No",23,"1 Married - spouse in household"
"15361","1 Yes",51,"1 Married - spouse in household"
"15362","1 Yes",34,"1 Married - spouse in household"
"15363","1 Yes",24,"1 Married - spouse in household"
"15364","1 Yes",45,"5 Divorced"
"15365","1 Yes",73,"5 Divorced"
"15366","1 Yes",62,"1 Married - spouse in household"
"15367","1 Yes",34,"1 Married - spouse in household"
"15368","1 Yes",63,"1 Married - spouse in household"
"15369","1 Yes",72,"1 Married - spouse in household"
"15370","2 No",27,"8 Living with partner"
"15371","1 Yes",20,"7 Never married"
"15372","1 Yes",37,"6 Separated"
"15373","1 Yes",51,"1 Married - spouse in household"
"15374","1 Yes",51,"1 Married - spouse in household"
"15375","1 Yes",22,"7 Never married"
"15376","1 Yes",35,"7 Never married"
"15377","1 Yes",38,"6 Separated"
"15378","1 Yes",37,"6 Separated"
"15379","1 Yes",40,"2 Married - spouse not in household"
"15380","1 Yes",77,"4 Widowed"
"15381","1 Yes",58,"1 Married - spouse in household"
"15382","1 Yes",54,"8 Living with partner"
"15383","1 Yes",46,"5 Divorced"
"15384","1 Yes",28,"7 Never married"
"15385","1 Yes",29,"7 Never married"
"15386","1 Yes",75,"1 Married - spouse in household"
"15387","1 Yes",50,"7 Never married"
"15388","2 No",43,"1 Married - spouse in household"
"15389","1 Yes",30,"1 Married - spouse in household"
"15390","2 No",28,"7 Never married"
"15391","1 Yes",19,"7 Never married"
"15392","1 Yes",32,"8 Living with partner"
"15393","1 Yes",52,"1 Married - spouse in household"
"15394","1 Yes",76,"2 Married - spouse not in household"
"15395","1 Yes",47,"1 Married - spouse in household"
"15396","1 Yes",44,"5 Divorced"
"15397","1 Yes",59,"8 Living with partner"
"15398","1 Yes",58,"7 Never married"
"15399","1 Yes",48,"8 Living with partner"
"15400","1 Yes",55,"2 Married - spouse not in household"
"15401","1 Yes",22,"7 Never married"
"15402","1 Yes",74,"1 Married - spouse in household"
"15403","1 Yes",75,"4 Widowed"
"15404","1 Yes",50,"7 Never married"
"15405","1 Yes",55,"1 Married - spouse in household"
"15406","1 Yes",59,"1 Married - spouse in household"
"15407","2 No",35,"7 Never married"
"15408","1 Yes",71,"1 Married - spouse in household"
"15409","1 Yes",43,"1 Married - spouse in household"
"15410","1 Yes",67,"1 Married - spouse in household"
"15411","1 Yes",61,"2 Married - spouse not in household"
"15412","1 Yes",34,"1 Married - spouse in household"
"15413","1 Yes",24,"5 Divorced"
"15414","1 Yes",53,"5 Divorced"
"15415","1 Yes",85,"4 Widowed"
"15416","1 Yes",68,"1 Married - spouse in household"
"15417","1 Yes",50,"5 Divorced"
"15418","1 Yes",42,"5 Divorced"
"15419","1 Yes",38,"1 Married - spouse in household"
"15420","1 Yes",38,"1 Married - spouse in household"
"15421","1 Yes",60,"4 Widowed"
"15422","1 Yes",40,"7 Never married"
"15423","2 No",60,"4 Widowed"
"15424","1 Yes",29,"7 Never married"
"15425","1 Yes",20,"7 Never married"
"15426","1 Yes",32,"6 Separated"
"15427","1 Yes",78,"2 Married - spouse not in household"
"15428","1 Yes",30,"7 Never married"
"15429","2 No",48,"1 Married - spouse in household"
"15430","1 Yes",79,"4 Widowed"
"15431","1 Yes",43,"1 Married - spouse in household"
"15432","1 Yes",21,"7 Never married"
"15433","1 Yes",36,"1 Married - spouse in household"
"15434","1 Yes",28,"1 Married - spouse in household"
"15435","1 Yes",26,"7 Never married"
"15436","2 No",78,"7 Never married"
"15437","1 Yes",25,"7 Never married"
"15438","1 Yes",25,"7 Never married"
"15439","1 Yes",52,"1 Married - spouse in household"
"15440","1 Yes",67,"1 Married - spouse in household"
"15441","1 Yes",58,"7 Never married"
"15442","1 Yes",65,"1 Married - spouse in household"
"15443","1 Yes",35,"5 Divorced"
"15444","1 Yes",66,"1 Married - spouse in household"
"15445","1 Yes",42,"8 Living with partner"
"15446","1 Yes",21,"7 Never married"
"15447","1 Yes",46,"1 Married - spouse in household"
"15448","2 No",49,"1 Married - spouse in household"
"15449","2 No",31,"1 Married - spouse in household"
"15450","1 Yes",57,"1 Married - spouse in household"
"15451","1 Yes",61,"4 Widowed"
"15452","2 No",34,"1 Married - spouse in household"
"15453","2 No",27,"1 Married - spouse in household"
"15454","1 Yes",28,"5 Divorced"
"15455","1 Yes",38,"1 Married - spouse in household"
"15456","1 Yes",60,"9 Unknown marital status"
"15457","1 Yes",71,"5 Divorced"
"15458","1 Yes",40,"6 Separated"
"15459","1 Yes",39,"8 Living with partner"
"15460","1 Yes",63,"4 Widowed"
"15461","1 Yes",53,"1 Married - spouse in household"
"15462","1 Yes",43,"1 Married - spouse in household"
"15463","1 Yes",50,"1 Married - spouse in household"
"15464","1 Yes",61,"7 Never married"
"15465","1 Yes",46,"8 Living with partner"
"15466","1 Yes",27,"7 Never married"
"15467","1 Yes",80,"1 Married - spouse in household"
"15468","2 No",61,"1 Married - spouse in household"
"15469","2 No",33,"7 Never married"
"15470","1 Yes",45,"5 Divorced"
"15471","1 Yes",71,"4 Widowed"
"15472","1 Yes",48,"1 Married - spouse in household"
"15473","1 Yes",18,"7 Never married"
"15474","1 Yes",79,"4 Widowed"
"15475","1 Yes",35,"1 Married - spouse in household"
"15476","1 Yes",46,"7 Never married"
"15477","9 Don't know",73,"7 Never married"
"15478","2 No",35,"7 Never married"
"15479","1 Yes",28,"1 Married - spouse in household"
"15480","1 Yes",66,"4 Widowed"
"15481","1 Yes",69,"1 Married - spouse in household"
"15482","1 Yes",55,"5 Divorced"
"15483","1 Yes",37,"1 Married - spouse in household"
"15484","1 Yes",62,"7 Never married"
"15485","1 Yes",61,"4 Widowed"
"15486","1 Yes",39,"1 Married - spouse in household"
"15487","1 Yes",22,"7 Never married"
"15488","1 Yes",22,"7 Never married"
"15489","2 No",22,"7 Never married"
"15490","1 Yes",85,"2 Married - spouse not in household"
"15491","1 Yes",24,"1 Married - spouse in household"
"15492","1 Yes",67,"1 Married - spouse in household"
"15493","1 Yes",63,"4 Widowed"
"15494","1 Yes",42,"5 Divorced"
"15495","1 Yes",54,"1 Married - spouse in household"
"15496","2 No",59,"4 Widowed"
"15497","1 Yes",25,"1 Married - spouse in household"
"15498","1 Yes",50,"1 Married - spouse in household"
"15499","1 Yes",44,"1 Married - spouse in household"
"15500","1 Yes",60,"1 Married - spouse in household"
"15501","1 Yes",50,"5 Divorced"
"15502","1 Yes",57,"1 Married - spouse in household"
"15503","1 Yes",32,"1 Married - spouse in household"
"15504","1 Yes",32,"7 Never married"
"15505","1 Yes",64,"4 Widowed"
"15506","1 Yes",72,"4 Widowed"
"15507","1 Yes",54,"6 Separated"
"15508","1 Yes",52,"1 Married - spouse in household"
"15509","1 Yes",55,"1 Married - spouse in household"
"15510","1 Yes",76,"7 Never married"
"15511","1 Yes",53,"2 Married - spouse not in household"
"15512","1 Yes",71,"1 Married - spouse in household"
"15513","1 Yes",32,"8 Living with partner"
"15514","1 Yes",74,"5 Divorced"
"15515","1 Yes",56,"7 Never married"
"15516","1 Yes",20,"7 Never married"
"15517","1 Yes",30,"1 Married - spouse in household"
"15518","1 Yes",35,"5 Divorced"
"15519","1 Yes",39,"1 Married - spouse in household"
"15520","1 Yes",71,"1 Married - spouse in household"
"15521","1 Yes",43,"5 Divorced"
"15522","1 Yes",65,"1 Married - spouse in household"
"15523","1 Yes",36,"8 Living with partner"
"15524","1 Yes",62,"1 Married - spouse in household"
"15525","1 Yes",52,"1 Married - spouse in household"
"15526","1 Yes",49,"1 Married - spouse in household"
"15527","1 Yes",46,"1 Married - spouse in household"
"15528","1 Yes",59,"1 Married - spouse in household"
"15529","1 Yes",81,"1 Married - spouse in household"
"15530","2 No",18,"7 Never married"
"15531","1 Yes",32,"7 Never married"
"15532","1 Yes",68,"1 Married - spouse in household"
"15533","1 Yes",45,"5 Divorced"
"15534","1 Yes",70,"4 Widowed"
"15535","1 Yes",67,"1 Married - spouse in household"
"15536","1 Yes",52,"5 Divorced"
"15537","1 Yes",64,"1 Married - spouse in household"
"15538","1 Yes",63,"1 Married - spouse in household"
"15539","1 Yes",61,"5 Divorced"
"15540","1 Yes",35,"8 Living with partner"
"15541","2 No",58,"6 Separated"
"15542","1 Yes",57,"1 Married - spouse in household"
"15543","1 Yes",52,"1 Married - spouse in household"
"15544","1 Yes",54,"7 Never married"
"15545","1 Yes",47,"5 Divorced"
"15546","1 Yes",18,"7 Never married"
"15547","1 Yes",29,"8 Living with partner"
"15548","1 Yes",61,"1 Married - spouse in household"
"15549","1 Yes",39,"6 Separated"
"15550","1 Yes",85,"5 Divorced"
"15551","1 Yes",56,"1 Married - spouse in household"
"15552","1 Yes",62,"5 Divorced"
"15553","1 Yes",70,"5 Divorced"
"15554","1 Yes",21,"7 Never married"
"15555","1 Yes",20,"7 Never married"
"15556","1 Yes",20,"7 Never married"
"15557","1 Yes",67,"2 Married - spouse not in household"
"15558","1 Yes",20,"6 Separated"
"15559","1 Yes",53,"1 Married - spouse in household"
"15560","1 Yes",35,"1 Married - spouse in household"
"15561","1 Yes",68,"1 Married - spouse in household"
"15562","1 Yes",34,"1 Married - spouse in household"
"15563","1 Yes",22,"7 Never married"
"15564","1 Yes",38,"2 Married - spouse not in household"
"15565","1 Yes",44,"5 Divorced"
"15566","1 Yes",30,"7 Never married"
"15567","1 Yes",28,"7 Never married"
"15568","2 No",26,"7 Never married"
"15569","1 Yes",29,"7 Never married"
"15570","1 Yes",59,"5 Divorced"
"15571","1 Yes",85,"4 Widowed"
"15572","1 Yes",70,"1 Married - spouse in household"
"15573","1 Yes",27,"7 Never married"
"15574","1 Yes",35,"7 Never married"
"15575","2 No",63,"1 Married - spouse in household"
"15576","1 Yes",31,"1 Married - spouse in household"
"15577","1 Yes",50,"5 Divorced"
"15578","2 No",20,"7 Never married"
"15579","1 Yes",46,"5 Divorced"
"15580","2 No",23,"7 Never married"
"15581","1 Yes",73,"1 Married - spouse in household"
"15582","1 Yes",63,"4 Widowed"
"15583","1 Yes",38,"1 Married - spouse in household"
"15584","1 Yes",53,"6 Separated"
"15585","1 Yes",64,"5 Divorced"
"15586","2 No",25,"7 Never married"
"15587","1 Yes",41,"5 Divorced"
"15588","2 No",85,"4 Widowed"
"15589","1 Yes",75,"4 Widowed"
"15590","1 Yes",33,"7 Never married"
"15591","1 Yes",80,"2 Married - spouse not in household"
"15592","1 Yes",20,"1 Married - spouse in household"
"15593","2 No",42,"8 Living with partner"
"15594","1 Yes",25,"5 Divorced"
"15595","1 Yes",85,"1 Married - spouse in household"
"15596","1 Yes",34,"1 Married - spouse in household"
"15597","1 Yes",55,"1 Married - spouse in household"
"15598","1 Yes",52,"5 Divorced"
"15599","1 Yes",61,"6 Separated"
"15600","1 Yes",72,"2 Married - spouse not in household"
"15601","1 Yes",50,"1 Married - spouse in household"
"15602","1 Yes",62,"1 Married - spouse in household"
"15603","1 Yes",59,"4 Widowed"
"15604","7 Refused",67,"6 Separated"
"15605","1 Yes",66,"1 Married - spouse in household"
"15606","1 Yes",68,"1 Married - spouse in household"
"15607","1 Yes",34,"1 Married - spouse in household"
"15608","1 Yes",39,"2 Married - spouse not in household"
"15609","1 Yes",24,"7 Never married"
"15610","1 Yes",79,"5 Divorced"
"15611","1 Yes",30,"7 Never married"
"15612","1 Yes",27,"8 Living with partner"
"15613","1 Yes",27,"8 Living with partner"
"15614","1 Yes",45,"8 Living with partner"
"15615","1 Yes",32,"7 Never married"
"15616","1 Yes",68,"1 Married - spouse in household"
"15617","1 Yes",34,"1 Married - spouse in household"
"15618","1 Yes",55,"5 Divorced"
"15619","1 Yes",40,"1 Married - spouse in household"
"15620","1 Yes",49,"5 Divorced"
"15621","1 Yes",31,"1 Married - spouse in household"
"15622","1 Yes",55,"8 Living with partner"
"15623","1 Yes",51,"1 Married - spouse in household"
"15624","2 No",42,"1 Married - spouse in household"
"15625","1 Yes",54,"5 Divorced"
"15626","1 Yes",25,"1 Married - spouse in household"
"15627","1 Yes",75,"1 Married - spouse in household"
"15628","1 Yes",25,"1 Married - spouse in household"
"15629","1 Yes",43,"1 Married - spouse in household"
"15630","2 No",57,"1 Married - spouse in household"
"15631","2 No",85,"4 Widowed"
"15632","1 Yes",24,"7 Never married"
"15633","1 Yes",55,"1 Married - spouse in household"
"15634","1 Yes",47,"7 Never married"
"15635","1 Yes",47,"1 Married - spouse in household"
"15636","1 Yes",19,"7 Never married"
"15637","1 Yes",31,"5 Divorced"
"15638","1 Yes",29,"8 Living with partner"
"15639","1 Yes",70,"4 Widowed"
"15640","1 Yes",33,"1 Married - spouse in household"
"15641","2 No",35,"6 Separated"
"15642","1 Yes",74,"1 Married - spouse in household"
"15643","1 Yes",32,"1 Married - spouse in household"
"15644","1 Yes",38,"1 Married - spouse in household"
"15645","2 No",47,"5 Divorced"
"15646","1 Yes",26,"2 Married - spouse not in household"
"15647","1 Yes",42,"1 Married - spouse in household"
"15648","1 Yes",80,"4 Widowed"
"15649","1 Yes",46,"5 Divorced"
"15650","1 Yes",26,"8 Living with partner"
"15651","1 Yes",32,"1 Married - spouse in household"
"15652","1 Yes",56,"5 Divorced"
"15653","1 Yes",78,"2 Married - spouse not in household"
"15654","1 Yes",51,"1 Married - spouse in household"
"15655","1 Yes",34,"1 Married - spouse in household"
"15656","1 Yes",52,"7 Never married"
"15657","1 Yes",19,"7 Never married"
"15658","2 No",31,"7 Never married"
"15659","1 Yes",19,"7 Never married"
"15660","1 Yes",36,"7 Never married"
"15661","1 Yes",34,"1 Married - spouse in household"
"15662","1 Yes",22,"5 Divorced"
"15663","1 Yes",26,"8 Living with partner"
"15664","1 Yes",68,"1 Married - spouse in household"
"15665","1 Yes",72,"6 Separated"
"15666","1 Yes",65,"7 Never married"
"15667","2 No",24,"7 Never married"
"15668","2 No",56,"4 Widowed"
"15669","1 Yes",33,"1 Married - spouse in household"
"15670","1 Yes",85,"1 Married - spouse in household"
"15671","1 Yes",36,"5 Divorced"
"15672","1 Yes",71,"1 Married - spouse in household"
"15673","1 Yes",34,"1 Married - spouse in household"
"15674","1 Yes",63,"1 Married - spouse in household"
"15675","1 Yes",70,"4 Widowed"
"15676","1 Yes",57,"1 Married - spouse in household"
"15677","1 Yes",68,"1 Married - spouse in household"
"15678","1 Yes",51,"1 Married - spouse in household"
"15679","2 No",44,"1 Married - spouse in household"
"15680","1 Yes",53,"1 Married - spouse in household"
"15681","1 Yes",83,"1 Married - spouse in household"
"15682","1 Yes",28,"7 Never married"
"15683","1 Yes",50,"5 Divorced"
"15684","1 Yes",85,"4 Widowed"
"15685","1 Yes",51,"1 Married - spouse in household"
"15686","2 No",67,"4 Widowed"
"15687","1 Yes",69,"1 Married - spouse in household"
"15688","2 No",55,"1 Married - spouse in household"
"15689","1 Yes",19,"7 Never married"
"15690","1 Yes",51,"1 Married - spouse in household"
"15691","1 Yes",36,"1 Married - spouse in household"
"15692","1 Yes",38,"1 Married - spouse in household"
